account,post,follower,follow,open_account,official_account
https://instagram.com/lalalalisa_m,535,33037732,0,1,1
https://instagram.com/real__pcy,791,21023710,243,1,1
https://instagram.com/jennierubyjane,547,27012933,0,1,1
https://instagram.com/sooyaaa__,363,22499796,0,1,1
https://instagram.com/skuukzky,1299,12132437,239,1,1
https://instagram.com/hudabeauty,535,43907023,795,1,1
https://instagram.com/baifernbah,4917,7008072,465,1,1
https://instagram.com/roses_are_rosie,420,24014665,0,1,1
https://instagram.com/taewaew_natapohn,6629,6243462,995,1,1
https://instagram.com/jacksonwang852g7,662,17420197,412,1,1
https://instagram.com/cathygonzaga,1962,9007313,102,1,1
https://instagram.com/minminmin0712,937,1701839,267,1,1
https://instagram.com/taeri__taeri,407,1716525,487,1,1
https://instagram.com/patriciagood,965,1821838,241,1,1
https://instagram.com/3ce_official,5200,1772574,16,1,1
https://instagram.com/victoriabeckham,3459,28326192,276,1,1
https://instagram.com/jessica.syj,823,9264299,6,1,1
https://instagram.com/__shinyeeun,176,1635233,14,1,1
https://instagram.com/gwangoamsinn,4010,1730931,489,1,1
https://instagram.com/lizasoberano,631,13100545,459,1,1
https://instagram.com/hi_sseulgi,212,5834734,13,1,1
https://instagram.com/lilymaymac,1294,4121185,575,1,1
https://instagram.com/mookworranit,4517,2723073,1005,1,1
https://instagram.com/sora_pppp,944,1014339,395,1,0
https://instagram.com/hyoyeon_x_x,1219,5094009,41,1,1
https://instagram.com/apitsada,8102,3550219,673,1,1
https://instagram.com/miyayeah,2156,6251163,362,1,1
https://instagram.com/kisy0729,4174,783186,829,1,1
https://instagram.com/goyounjung,157,770033,1,1,1
https://instagram.com/theniti,6123,2502332,353,1,1
https://instagram.com/yook_can_do_it,339,3104609,42,1,1
https://instagram.com/chinitaprincess,3187,8587604,1059,1,1
https://instagram.com/vivamoon,6144,648781,216,1,0
https://instagram.com/duearisara,3809,2954813,335,1,1
https://instagram.com/rolaofficial,4083,6096418,1351,1,1
https://instagram.com/vely.mom,787,721960,227,1,0
https://instagram.com/overdokyungsoo,254,2184780,52,1,0
https://instagram.com/boakwon,872,3283106,194,1,1
https://instagram.com/jpreem,4171,1468559,584,1,1
https://instagram.com/songdaeik,245,370620,0,1,0
https://instagram.com/_twinkle_makeup_,422,316944,470,1,0
https://instagram.com/risabae_art,1293,999229,548,1,1
https://instagram.com/khunfour,4226,2588677,836,1,1
https://instagram.com/somsomi0309,220,6568133,6,1,1
https://instagram.com/dahee0315,981,1850811,93,1,1
https://instagram.com/_yoonkyoung,158,310790,149,1,1
https://instagram.com/seoa_p,672,288977,471,1,1
https://instagram.com/kyj._.95,218,565405,275,1,0
https://instagram.com/villwannarot,5947,1609473,908,1,1
https://instagram.com/zipcy,762,715606,432,1,0
https://instagram.com/garin_ss,3054,442528,91,1,1
https://instagram.com/come2david,875,291303,670,1,0
https://instagram.com/areumsongee,2714,400809,456,1,1
https://instagram.com/a12486,456,370301,87,1,1
https://instagram.com/deardahlia_beauty,1266,291881,863,1,1
https://instagram.com/huoggiangggg,1066,3277067,211,1,1
https://instagram.com/dancingmulgogi,1365,262628,349,1,1
https://instagram.com/rothy_ming,563,240743,276,1,1
https://instagram.com/seungcheol__j,837,279034,569,1,0
https://instagram.com/makeup_maker_,2787,242595,196,1,0
https://instagram.com/woooozzzzz,1541,370020,324,1,0
https://instagram.com/delight_hyeon,375,320009,60,1,0
https://instagram.com/kwrhome,2523,191252,394,1,1
https://instagram.com/vtcosmetics_official,3959,1114397,2,1,1
https://instagram.com/charmant__u,360,200830,251,1,0
https://instagram.com/xoyeonee,423,277262,613,1,0
https://instagram.com/jessie_ca_x,905,249849,275,1,0
https://instagram.com/saayworld,346,194324,478,1,1
https://instagram.com/velyvely0_,441,204139,269,1,0
https://instagram.com/yoomth,7292,326392,699,1,0
https://instagram.com/misssohn,2120,144364,357,1,1
https://instagram.com/yoobohwa,1201,166939,288,1,1
https://instagram.com/mangoo_6,138,453463,199,1,0
https://instagram.com/bosong_s2_,192,449740,165,1,0
https://instagram.com/do2i_,639,136667,389,1,0
https://instagram.com/bell_aiya,891,564249,389,1,0
https://instagram.com/yoonara_mood,2694,482311,544,1,0
https://instagram.com/another_youla,10894,126123,1020,1,0
https://instagram.com/pakkaramai,5836,587374,701,1,1
https://instagram.com/jaeinn,690,160043,219,1,0
https://instagram.com/kaone815,3435,223636,357,1,1
https://instagram.com/annacay,2173,353812,1570,1,1
https://instagram.com/shortbutstunning,6648,203397,374,1,0
https://instagram.com/imvely_official,2725,101537,5,1,0
https://instagram.com/laneige_kr,2051,405354,17,1,1
https://instagram.com/minyoung_aori,1204,416329,591,1,1
https://instagram.com/gini_s2_,536,577242,324,1,0
https://instagram.com/yangmeera,1146,95506,235,1,1
https://instagram.com/parkgirim,2149,129350,276,1,0
https://instagram.com/jenna_chew,417,2017304,618,1,1
https://instagram.com/blossomh_,996,177100,491,1,1
https://instagram.com/kimheejin331,1121,112516,42,1,0
https://instagram.com/lxxseyoung,681,221598,289,1,0
https://instagram.com/beautyplmagazine,5949,674118,0,1,0
https://instagram.com/ahrimin1206,708,198370,318,1,0
https://instagram.com/hansstyle_hanna,12564,235088,338,1,0
https://instagram.com/le_cormang,8620,152633,354,0,0
https://instagram.com/vvery_woony,1757,109574,533,1,0
https://instagram.com/endorphin.oh,4868,110992,460,1,0
https://instagram.com/____onnu____,9553,148548,469,1,0
https://instagram.com/ahsy_u,659,390496,399,1,0
https://instagram.com/peripera_official,1279,509474,1,1,1
https://instagram.com/__dropin,92,112491,520,1,0
https://instagram.com/holikaholika_official,1024,274617,68,1,1
https://instagram.com/knhs2,307,747937,116,1,0
https://instagram.com/gemma_811,3089,593310,463,1,1
https://instagram.com/thedudacastro,447,1032278,477,1,1
https://instagram.com/88bbong,3839,202201,409,1,1
https://instagram.com/benefitcosmeticskorea,6067,200923,160,1,1
https://instagram.com/grace1.co.kr__,6515,123053,1246,1,0
https://instagram.com/yehdeb,1618,808222,961,1,1
https://instagram.com/dawniscoming,3118,228883,1003,1,1
https://instagram.com/wonderpyo,8740,78389,1554,1,0
https://instagram.com/withnami,2966,166395,387,1,1
https://instagram.com/pt_u_jin,305,234392,314,1,1
https://instagram.com/ro.junghwa,884,367579,316,1,0
https://www.instagram.com/chahong.official/,1176,201747,2,1,1
https://instagram.com/aheadsman_l,1132,231347,10,1,0
https://instagram.com/derful_yuri,3259,71109,106,1,0
https://instagram.com/__h.bin,624,257710,31,1,0
https://instagram.com/ryun1013,1696,46917,3233,1,0
https://instagram.com/yeon.sun,976,92692,177,1,0
https://instagram.com/egeeparkcom,3443,128558,1237,1,1
https://www.instagram.com/iammaeng/,1184,237548,478,1,0
https://instagram.com/aprilskin_korea,840,130966,0,1,1
https://instagram.com/go_bambi,3368,168540,284,1,0
https://instagram.com/memebox_pick,2486,193005,7,1,1
https://instagram.com/heejaeholic,8182,169786,983,1,0
https://instagram.com/moonshot_korea,1088,225823,5,1,1
https://instagram.com/128page,1012,230651,368,1,0
https://instagram.com/minsung8809,874,277177,904,1,0
https://instagram.com/daese1230,565,78431,141,1,0
https://instagram.com/joontopia_,209,80232,76,1,0
https://instagram.com/vecnexz,167,318534,223,1,0
https://instagram.com/real__siri,2242,69998,811,1,0
https://instagram.com/kwaktori,3218,147183,449,1,1
https://instagram.com/yoou.ch,2078,390105,571,1,0
https://instagram.com/heididrinkslove,3127,155397,287,1,1
https://instagram.com/besthairstylesmen,953,185332,3795,1,0
https://instagram.com/naturerepublic_kr,1588,614252,0,1,1
https://instagram.com/i.hate.cucumber,331,197545,297,1,0
https://instagram.com/bbia.official,962,204549,2,1,1
https://instagram.com/jju_dresser,3224,131147,503,1,0
https://instagram.com/mini_o24,1247,62586,178,1,0
https://instagram.com/yeonpilates,2658,241107,407,1,0
https://instagram.com/olaborasong,3033,199824,611,1,0
https://instagram.com/mming_kkong_,1513,68562,994,1,0
https://instagram.com/hyanggggg_,1048,212423,351,1,0
https://instagram.com/leah_miso,1508,211396,123,1,0
https://instagram.com/jenny_beauty0209,666,235259,234,1,0
https://instagram.com/iamtaengja,134,41924,414,1,0
https://instagram.com/tamystory,1970,66466,666,1,1
https://instagram.com/kimdayeong_life,2383,169374,311,1,0
https://instagram.com/yeonggine,61,113803,865,1,0
https://instagram.com/nice_nemo,3042,121858,832,1,0
https://instagram.com/manyo_yoojin,6107,597799,228,1,0
https://instagram.com/cchan_fee4,1204,252238,986,1,1
https://instagram.com/sson__s,2308,46493,289,1,0
https://instagram.com/kukukuyeah,620,215266,568,1,0
https://instagram.com/moon_hahyeon,355,176860,919,1,0
https://instagram.com/twinkle_sunny7,3812,318056,674,1,0
https://instagram.com/bunnyaire,6216,462006,895,1,1
https://instagram.com/_s_hj,270,199166,355,1,0
https://instagram.com/froydz,422,649338,461,1,0
https://instagram.com/sso_ix,525,88672,79,1,0
https://instagram.com/harry_bloom,519,167366,458,1,0
https://instagram.com/all6i2,1817,92992,2,1,0
https://instagram.com/sh1994m,387,156661,208,1,0
https://instagram.com/16.brand,1755,183395,5,1,0
https://instagram.com/theorohaejung,17105,88054,1333,1,0
https://instagram.com/pinksecret85,12589,145547,464,1,0
https://instagram.com/ysubini,715,206426,179,1,0
https://instagram.com/mint_factory.1004,505,70249,375,1,0
https://instagram.com/___solvely___,260,392266,203,1,0
https://instagram.com/louis0387,2529,124125,1165,1,0
https://instagram.com/luv_jayne,994,156951,567,1,0
https://instagram.com/yonyonyxx,1263,161413,277,1,0
https://instagram.com/love_boki,10378,145656,705,1,0
https://instagram.com/atoi_jihyo,725,93960,285,1,0
https://instagram.com/laun_kr,4128,184296,885,1,0
https://instagram.com/heizlemakeup,1099,186400,379,1,1
https://instagram.com/ddimmi96,460,194951,247,1,0
https://instagram.com/y_unanaa,4037,68995,225,1,0
https://instagram.com/ahk0925,1316,110228,661,1,0
https://instagram.com/moonguiyoung,2717,108936,415,1,0
https://instagram.com/ecom0920,2522,95189,399,1,0
https://instagram.com/akaribeauty7,2755,155370,356,1,0
https://instagram.com/victoritalovely,241,144101,4755,1,0
https://instagram.com/hinzajoa,4467,280776,432,1,0
https://instagram.com/mamondekorea,964,205248,7,1,1
https://instagram.com/lxoxoee,119,223878,141,1,0
