,account,post,follower,follow,open_account,official_account,image_love,image_comment,video_love,video_comment,igtv_love,igtv_comment,ER,active_rate
0,https://instagram.com/lalalalisa_m,535,33037732,0,1,1,4383333,59794,0,0,0,0,13.44864411,1.364121466
1,https://instagram.com/real__pcy,791,21023710,243,1,1,2009091,52364,2425000,46750,0,0,9.805381638,2.606351526
2,https://instagram.com/jennierubyjane,547,27012933,0,1,1,3614286,35713,0,0,0,0,13.51204255,0.988106368
3,https://instagram.com/sooyaaa__,363,22499796,0,1,1,2460000,18231,0,0,0,0,11.01445986,0.74109726
4,https://instagram.com/skuukzky,1299,12132437,239,1,1,728091,3760,1601750,4646,0,0,6.03218463,0.516418255
5,https://instagram.com/hudabeauty,535,43907023,795,1,1,149060,3873,670091,1229,895500,1240,0.348311021,2.59826514
6,https://instagram.com/baifernbah,4917,7008072,465,1,1,371571,1186,289775,301,0,0,5.318966472,0.319184438
7,https://instagram.com/roses_are_rosie,420,24014665,0,1,1,3031579,28519,6150000,19600,0,0,12.74262206,0.940730576
8,https://instagram.com/taewaew_natapohn,6629,6243462,995,1,1,220878,653,619514,481,737000,1092,3.548207709,0.295636978
9,https://instagram.com/jacksonwang852g7,662,17420197,412,1,1,1149167,16918,851000,8956,0,0,6.693868043,1.472195536
10,https://instagram.com/cathygonzaga,1962,9007313,102,1,1,275214,1042,893000,1558,0,0,3.067018988,0.378613084
11,https://instagram.com/minminmin0712,937,1701839,267,1,1,54962,166,381000,511,59000,106,3.239319348,0.30202136
12,https://instagram.com/taeri__taeri,407,1716525,487,1,1,70111,168,0,0,0,0,4.094260206,0.239616613
13,https://instagram.com/patriciagood,965,1821838,241,1,1,29091,73,89700,64,123000,114,1.600800949,0.25092809
14,https://instagram.com/3ce_official,5200,1772574,16,1,1,10114,9,20100,9,0,0,0.571090403,0.088976767
15,https://instagram.com/victoriabeckham,3459,28326192,276,1,1,169123,597,834260,506,0,0,0.599162782,0.352995435
16,https://instagram.com/jessica.syj,823,9264299,6,1,1,342000,2625,2600000,5522,0,0,3.719925274,0.767541615
17,https://instagram.com/__shinyeeun,176,1635233,14,1,1,222071,852,297000,359,0,0,13.63249152,0.383659354
18,https://instagram.com/gwangoamsinn,4010,1730931,489,1,1,24592,51,122950,36,0,0,1.423684711,0.207376083
19,https://instagram.com/lizasoberano,631,13100545,459,1,1,381688,1947,2100000,2422,2000000,1646,2.92838962,0.510101156
20,https://instagram.com/hi_sseulgi,212,5834734,13,1,1,874143,6354,1400000,3777,0,0,15.09061081,0.726882527
21,https://instagram.com/lilymaymac,1294,4121185,575,1,1,104967,374,0,0,0,0,2.556085204,0.356299063
22,https://instagram.com/mookworranit,4517,2723073,1005,1,1,85261,185,192567,155,0,0,3.137851978,0.216978255
23,https://instagram.com/sora_pppp,944,1014339,395,1,0,19801,51,101800,72,0,0,1.957136618,0.257549742
24,https://instagram.com/hyoyeon_x_x,1219,5094009,41,1,1,178938,1316,152500,800,0,0,3.538548911,0.735446158
25,https://instagram.com/apitsada,8102,3550219,673,1,1,62900,167,70367,139,241000,133,1.776425623,0.265496574
26,https://instagram.com/miyayeah,2156,6251163,362,1,1,236933,1249,555333,1419,0,0,3.810202997,0.527151021
27,https://instagram.com/kisy0729,4174,783186,829,1,1,12945,167,214000,296,0,0,1.67418723,1.289973737
28,https://instagram.com/goyounjung,157,770033,1,1,1,50243,214,110000,238,0,0,6.552576318,0.425921503
29,https://instagram.com/theniti,6123,2502332,353,1,1,42464,84,154300,168,0,0,1.700333929,0.197809961
30,https://instagram.com/yook_can_do_it,339,3104609,42,1,1,420667,9227,0,0,0,0,13.84696108,2.193416186
31,https://instagram.com/chinitaprincess,3187,8587604,1059,1,1,91500,944,794500,3664,0,0,1.076481869,1.031682714
32,https://instagram.com/vivamoon,6144,648781,216,1,0,6123,86,0,0,0,0,0.95702556,1.404310908
33,https://instagram.com/duearisara,3809,2954813,335,1,1,58157,134,84268,24,46900,32,1.972747514,0.230406823
34,https://instagram.com/rolaofficial,4083,6096418,1351,1,1,119124,324,812000,1031,0,0,1.95931447,0.271983211
35,https://instagram.com/vely.mom,787,721960,227,1,0,8496,128,0,0,0,0,1.194526013,1.506414028
36,https://instagram.com/overdokyungsoo,254,2184780,52,1,0,50347,491,40800,78,0,0,2.326916211,0.975212521
37,https://instagram.com/boakwon,872,3283106,194,1,1,90188,630,268143,782,0,0,2.766221986,0.698533081
38,https://instagram.com/jpreem,4171,1468559,584,1,1,20275,99,70800,96,0,0,1.387346372,0.488261985
39,https://instagram.com/songdaeik,245,370620,0,1,0,55415,379,421000,348,0,0,15.05423345,0.683918002
40,https://instagram.com/_twinkle_makeup_,422,316944,470,1,0,6691,40,132033,123,0,0,2.123719017,0.597728631
41,https://instagram.com/risabae_art,1293,999229,548,1,1,19883,126,0,0,0,0,2.002443884,0.633675317
42,https://instagram.com/khunfour,4226,2588677,836,1,1,33278,56,0,0,0,0,1.28768479,0.168274287
43,https://instagram.com/somsomi0309,220,6568133,6,1,1,709000,3664,882500,2780,0,0,10.8503284,0.516783474
44,https://instagram.com/dahee0315,981,1850811,93,1,1,159900,726,360800,836,0,0,8.67868194,0.454030932
45,https://instagram.com/_yoonkyoung,158,310790,149,1,1,15564,71,132000,25,0,0,5.030728144,0.456151622
46,https://instagram.com/seoa_p,672,288977,471,1,1,8374,72,48550,80,60550,60,2.922723954,0.859701493
47,https://instagram.com/kyj._.95,218,565405,275,1,0,9547,159,0,0,0,0,1.71664559,1.665270214
48,https://instagram.com/villwannarot,5947,1609473,908,1,1,23448,65,17700,21,167000,127,1.460912982,0.277197322
49,https://instagram.com/zipcy,762,715606,432,1,0,33433,107,0,0,0,0,4.686936666,0.320033499
50,https://instagram.com/garin_ss,3054,442528,91,1,1,2138,36,11076,22,0,0,0.491268349,1.683029453
51,https://instagram.com/come2david,875,291303,670,1,0,12304,69,67750,194,0,0,4.247467414,0.560747664
52,https://instagram.com/areumsongee,2714,400809,456,1,1,8054,26,0,0,0,0,2.015922796,0.322780881
53,https://instagram.com/a12486,456,370301,87,1,1,7083,78,0,0,0,0,1.933832207,1.10107284
54,https://instagram.com/deardahlia_beauty,1266,291881,863,1,1,2133,15,6560,7,0,0,0.735916349,0.702905342
55,https://instagram.com/huoggiangggg,1066,3277067,211,1,1,184125,589,590000,687,0,0,5.636564648,0.319889641
56,https://instagram.com/dancingmulgogi,1365,262628,349,1,1,20575,103,171000,32,0,0,7.873494068,0.500583204
57,https://instagram.com/rothy_ming,563,240743,276,1,1,27814,170,73650,180,0,0,11.62401399,0.611181017
58,https://instagram.com/seungcheol__j,837,279034,569,1,0,4547,84,3297,29,0,0,1.659654379,1.846965699
59,https://instagram.com/makeup_maker_,2787,242595,196,1,0,1311,10,0,0,76300,26,0.544528947,0.762195122
60,https://instagram.com/woooozzzzz,1541,370020,324,1,0,5055,97,0,0,0,0,1.39235717,1.918512658
61,https://instagram.com/delight_hyeon,375,320009,60,1,0,4323,23,3705,13,0,0,1.358086804,0.531914894
62,https://instagram.com/kwrhome,2523,191252,394,1,1,1541,30,40600,38,0,0,0.821429318,1.945525292
63,https://instagram.com/vtcosmetics_official,3959,1114397,2,1,1,3477,57,7128,16,0,0,0.317122175,1.638872915
64,https://instagram.com/charmant__u,360,200830,251,1,0,13025,159,53700,239,0,0,6.564756262,1.220635652
65,https://instagram.com/xoyeonee,423,277262,613,1,0,5111,103,32093,55,0,0,1.880531771,2.01486698
66,https://instagram.com/jessie_ca_x,905,249849,275,1,0,3572,33,2169,9,9834,9,1.442871494,0.923593619
67,https://instagram.com/saayworld,346,194324,478,1,1,7539,140,54000,331,0,0,3.951647764,1.856763926
68,https://instagram.com/velyvely0_,441,204139,269,1,0,2898,18,27000,12,0,0,1.428438466,0.62090376
69,https://instagram.com/yoomth,7292,326392,699,1,0,3082,33,108000,130,58000,14,0.954373882,1.070385988
70,https://instagram.com/misssohn,2120,144364,357,1,1,817,24,7253,10,0,0,0.582555208,2.93398533
71,https://instagram.com/yoobohwa,1201,166939,288,1,1,1533,29,0,0,11193,2,0.935671113,1.890482399
72,https://instagram.com/mangoo_6,138,453463,199,1,0,112122,1595,0,0,0,0,25.07745946,1.422544884
73,https://instagram.com/bosong_s2_,192,449740,165,1,0,19020,131,57200,64,0,0,4.258238093,0.688712476
74,https://instagram.com/do2i_,639,136667,389,1,0,2121,26,7831,16,0,0,1.570971778,1.225259189
75,https://instagram.com/bell_aiya,891,564249,389,1,0,20079,36,0,0,0,0,3.564915489,0.179282869
76,https://instagram.com/yoonara_mood,2694,482311,544,1,0,3321,22,0,0,0,0,0.693121243,0.662251656
77,https://instagram.com/another_youla,10894,126123,1020,1,0,605,10,10955,9,0,0,0.487619229,1.650165017
78,https://instagram.com/pakkaramai,5836,587374,701,1,1,3243,26,2487,12,0,0,0.556544893,0.801479655
79,https://instagram.com/jaeinn,690,160043,219,1,0,7055,31,7667,18,0,0,4.427560093,0.439342404
80,https://instagram.com/kaone815,3435,223636,357,1,1,2098,20,33800,4,0,0,0.947074711,0.952834683
81,https://instagram.com/annacay,2173,353812,1570,1,1,16404,96,0,0,0,0,4.663493607,0.585187443
82,https://instagram.com/shortbutstunning,6648,203397,374,1,0,823,20,0,0,0,0,0.41446039,2.427184466
83,https://instagram.com/imvely_official,2725,101537,5,1,0,228,10,0,0,0,0,0.234397313,4.366812227
84,https://instagram.com/laneige_kr,2051,405354,17,1,1,2704,50,4151,8,0,0,0.679406149,1.848428835
85,https://instagram.com/minyoung_aori,1204,416329,591,1,1,9396,270,0,0,0,0,2.321721523,2.873257423
86,https://instagram.com/gini_s2_,536,577242,324,1,0,26996,108,34600,18,0,0,4.695431032,0.400044449
87,https://instagram.com/yangmeera,1146,95506,235,1,1,4263,115,0,0,0,0,4.584005193,2.696998124
88,https://instagram.com/parkgirim,2149,129350,276,1,0,1839,8,8920,10,0,0,1.427908775,0.434782609
89,https://instagram.com/jenna_chew,417,2017304,618,1,1,54685,1252,307500,1098,0,0,2.772859222,2.289434224
90,https://instagram.com/blossomh_,996,177100,491,1,1,3734,40,9313,33,0,0,2.130999435,1.070950469
91,https://instagram.com/kimheejin331,1121,112516,42,1,0,4991,35,26400,280,0,0,4.46692026,0.701121795
92,https://instagram.com/lxxseyoung,681,221598,289,1,0,1902,40,25915,53,0,0,0.8763617,2.101944298
93,https://instagram.com/beautyplmagazine,5949,674118,0,1,0,1032,2,5148,2,0,0,0.153385609,0.193610842
94,https://instagram.com/ahrimin1206,708,198370,318,1,0,1656,47,31000,120,0,0,0.858496749,2.836451418
95,https://instagram.com/hansstyle_hanna,12564,235088,338,1,0,850,27,13753,10,30700,20,0.373051793,3.172737955
97,https://instagram.com/vvery_woony,1757,109574,533,1,0,1695,38,10942,8,0,0,1.581579572,2.240566038
98,https://instagram.com/endorphin.oh,4868,110992,460,1,0,352,9,7084,5,0,0,0.325248667,2.549575071
99,https://instagram.com/____onnu____,9553,148548,469,1,0,2195,26,41000,37,0,0,1.495139618,1.183970856
100,https://instagram.com/ahsy_u,659,390496,399,1,0,6055,49,68000,149,41700,77,1.563140211,0.809114927
101,https://instagram.com/peripera_official,1279,509474,1,1,1,7594,76,21550,108,0,0,1.505474273,1.000658328
102,https://instagram.com/__dropin,92,112491,520,1,0,6013,34,18300,48,0,0,5.375541154,0.565347522
103,https://instagram.com/holikaholika_official,1024,274617,68,1,1,1787,12,3494,26,0,0,0.655094186,0.67114094
104,https://instagram.com/knhs2,307,747937,116,1,0,48324,143,0,0,0,0,6.480091238,0.295913088
105,https://instagram.com/gemma_811,3089,593310,463,1,1,6433,51,6249,34,0,0,1.092851966,0.792663973
